IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack,Dataset
175.45.176.3,0,149.171.126.19,0,9,0.0,180,2,0,0,0,0,0,0,0,0,254,254,90,90,0,90,180.0,0.0,0,0,0,0,1440000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.1,0,149.171.126.17,0,5,0.0,360,4,0,0,0,0,0,4294952,15,0,254,255,90,90,0,90,360.0,0.0,0,0,0,0,176000,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.13,0,252,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.17,0,153,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.3,0,149.171.126.19,0,28,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.3,0,149.171.126.19,0,164,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.1,0,149.171.126.17,0,66,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.3,3241,149.171.126.19,80,6,7.0,818,10,1388,10,27,27,19,4294951,16,16,62,63,526,40,40,526,818.0,1388.0,233,1,526,1,384000,648000,16,2,0,2,0,16383,16383,59648,233,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.13,0,96,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.2,0,149.171.126.16,0,89,0.0,12832,28,0,0,0,0,0,4294920,47,0,254,255,1100,68,0,1100,12832.0,0.0,0,0,0,0,2136000,0,12,6,0,0,10,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,44993,149.171.126.14,80,6,7.0,1650,20,2520,16,27,27,19,4294764,203,203,62,63,527,40,40,527,1650.0,2520.0,473,2,1004,2,64000,96000,28,4,2,2,0,16383,16383,55552,217,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.1,0,149.171.126.17,0,177,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.1,65191,149.171.126.11,80,6,7.0,808,10,1054,8,27,27,19,4294951,16,0,62,63,399,40,40,399,48760.0,1054.0,228,1,399,1,3040000,8432000,14,2,2,0,0,16383,16383,58368,228,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.13,0,1,0.0,2024,2,0,0,0,0,0,0,0,0,254,254,1012,1012,0,1012,2024.0,0.0,0,0,0,0,16192000,0,0,0,0,2,0,0,0,30869,120,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.2,0,149.171.126.17,0,181,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.13,0,1,0.0,2024,2,0,0,0,0,0,0,0,0,254,254,1012,1012,0,1012,2024.0,0.0,0,0,0,0,16192000,0,0,0,0,2,0,0,0,20635,80,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.3,63331,149.171.126.11,80,6,7.0,816,10,1174,8,27,27,19,0,0,0,62,63,459,40,40,459,816.0,1174.0,232,1,459,1,6528000,9392000,14,2,2,0,0,16383,16383,59392,232,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.2,0,149.171.126.17,0,225,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.17,0,57,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.17,0,255,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.17,0,68,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.13,0,211,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.1,0,149.171.126.17,0,140,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.2,0,149.171.126.17,0,239,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.17,0,240,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.3,0,149.171.126.19,0,161,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.13,0,163,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.17,0,1,0.0,2024,2,0,0,0,0,0,0,0,0,254,254,1012,1012,0,1012,2024.0,0.0,0,0,0,0,16192000,0,0,0,0,2,0,0,0,50244,196,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.1,0,149.171.126.17,0,38,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.0,0,149.171.126.13,0,39,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.1,0,149.171.126.12,0,101,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.1,0,149.171.126.17,0,252,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.1,0,149.171.126.12,0,93,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.1,0,149.171.126.17,0,204,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
175.45.176.1,0,149.171.126.17,0,31,0.0,200,2,0,0,0,0,0,0,0,0,254,254,100,100,0,100,200.0,0.0,0,0,0,0,1600000,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Analysis,NF-UNSW-NB15-v2
