time,Action,connection_ip,from_ports,to_ports,suspected_attacks
2024-04-24T17:57:31.937404,unblock,20.107.224.4,{57863},{443},{'Infilteration'}
2024-04-24T18:01:53.189214,unblock,20.189.173.15,{49421},{443},{'Infilteration'}
2024-04-24T18:02:58.583302,block,163.70.151.21,"{49501, 49502}",{443},{'Infilteration'}
2024-04-24T18:05:09.062575,block,40.99.201.242,{57798},{443},{'Ransomware'}
2024-04-24T18:07:19.705869,block,10.210.77.7,{137},{137},{'Brute Force'}
2024-04-26T22:24:03.130102,unblock,157.240.225.61,{55267},{443},{'Bot'}
2024-04-26T22:24:03.130111,unblock,192.168.4.1,"{55748, 53798, 54503, 65351, 50023, 49580, 57452, 52952, 62039, 59576, 61019, 54971, 49725}",{53},{'Scanning'}
2024-04-26T22:24:03.130116,unblock,192.168.4.43,{53734},{8009},{'Ransomware'}
2024-04-26T22:24:03.130119,unblock,40.99.202.66,{55321},{443},{'Password'}
2024-04-26T22:24:03.130122,unblock,192.168.4.42,{53735},{8009},{'Ransomware'}
2024-04-26T22:24:03.130124,unblock,40.100.174.2,{55452},{443},{'Reconnaissance'}
2024-04-26T22:24:03.130127,unblock,52.97.133.162,{55266},{443},{'DoS'}
2024-04-26T22:24:03.130130,unblock,52.114.244.13,{54686},{443},{'Password'}
2024-04-26T22:24:03.130132,unblock,17.57.146.7,{53967},{5223},{'Infilteration'}
2024-04-26T22:24:03.130135,unblock,52.97.211.226,{55432},{443},{'Ransomware'}
2024-04-26T22:24:03.130137,unblock,163.172.98.4,{51413},{9002},{'Backdoor'}
